lesson;cs;cs
0;JCH;pJCH
6;JCI;pJCI
6;JCJ;pJCJ
9;JDA;pJDA
13;JDB;pJDB
19;JDC;pJDC
9;JDD;pJDD
5;JDE;pJDE
16;JDF;pJDF
2;JDG;pJDG
9;JDH;pJDH
7;JDI;pJDI
3;JDJ;pJDJ
9;JEA;pJEA
13;JEB;pJEB
1;JEC;pJEC
14;JED;pJED
7;JEE;pJEE
1;JEF;pJEF
2;JEG;pJEG
14;JEH;pJEH
12;JEI;pJEI
17;JEJ;pJEJ
8;JFA;pJFA
5;JFB;pJFB
10;JFC;pJFC
2;JFD;pJFD
9;JFE;pJFE
15;JFF;pJFF
19;JFG;pJFG
17;JFH;pJFH
12;JFI;pJFI
5;JFJ;pJFJ
17;JGA;pJGA
10;JGB;pJGB
7;JGC;pJGC
18;JGD;pJGD
5;JGE;pJGE
4;JGF;pJGF
19;JGG;pJGG
4;JGH;pJGH
7;JGI;pJGI
6;JGJ;pJGJ
6;JHA;pJHA
12;JHB;pJHB
10;JHC;pJHC
17;JHD;pJHD
0;JHE;pJHE
0;JHF;pJHF
3;JHG;pJHG
7;JHH;pJHH
5;JHI;pJHI
12;JHJ;pJHJ
2;JIA;pJIA
3;JIB;pJIB
10;JIC;pJIC
7;JID;pJID
17;JIE;pJIE
6;JIF;pJIF
2;JIG;pJIG
11;JIH;pJIH
11;JII;pJII
18;JIJ;pJIJ
11;JJA;pJJA
19;JJB;pJJB
16;JJC;pJJC
4;JJD;pJJD
9;JJE;pJJE
0;JJF;pJJF
0;JJG;pJJG
16;JJH;pJJH
9;JJI;pJJI
10;JJJ;pJJJ
1;BAAA;pBAAA
7;BAAB;pBAAB
14;BAAC;pBAAC
17;BAAD;pBAAD
8;BAAE;pBAAE
16;BAAF;pBAAF
9;BAAG;pBAAG
7;BAAH;pBAAH
14;BAAI;pBAAI
4;BAAJ;pBAAJ
7;BABA;pBABA
4;BABB;pBABB
19;BABC;pBABC
10;BABD;pBABD
4;BABE;pBABE
3;BABF;pBABF
12;BABG;pBABG
15;BABH;pBABH
4;BABI;pBABI
7;BABJ;pBABJ
10;BACA;pBACA
16;BACB;pBACB
0;BACC;pBACC
10;BACD;pBACD
6;BACE;pBACE
1;BACF;pBACF
14;BACG;pBACG
8;BACH;pBACH
10;BACI;pBACI
15;BACJ;pBACJ
17;BADA;pBADA
11;BADB;pBADB
7;BADC;pBADC
1;BADD;pBADD
9;BADE;pBADE
13;BADF;pBADF
13;BADG;pBADG
4;BADH;pBADH
17;BADI;pBADI
11;BADJ;pBADJ
4;BAEA;pBAEA
7;BAEB;pBAEB
17;BAEC;pBAEC
5;BAED;pBAED
17;BAEE;pBAEE
8;BAEF;pBAEF
10;BAEG;pBAEG
2;BAEH;pBAEH
8;BAEI;pBAEI
4;BAEJ;pBAEJ
0;BAFA;pBAFA
5;BAFB;pBAFB
3;BAFC;pBAFC
8;BAFD;pBAFD
8;BAFE;pBAFE
4;BAFF;pBAFF
11;BAFG;pBAFG
17;BAFH;pBAFH
6;BAFI;pBAFI
16;BAFJ;pBAFJ
13;BAGA;pBAGA
10;BAGB;pBAGB
17;BAGC;pBAGC
2;BAGD;pBAGD
3;BAGE;pBAGE
16;BAGF;pBAGF
4;BAGG;pBAGG
4;BAGH;pBAGH
0;BAGI;pBAGI
2;BAGJ;pBAGJ
7;BAHA;pBAHA
3;BAHB;pBAHB
10;BAHC;pBAHC
13;BAHD;pBAHD
3;BAHE;pBAHE
11;BAHF;pBAHF
10;BAHG;pBAHG
13;BAHH;pBAHH
1;BAHI;pBAHI
7;BAHJ;pBAHJ
14;BAIA;pBAIA
10;BAIB;pBAIB
10;BAIC;pBAIC
3;BAID;pBAID
10;BAIE;pBAIE
6;BAIF;pBAIF
14;BAIG;pBAIG
3;BAIH;pBAIH
7;BAII;pBAII
8;BAIJ;pBAIJ
11;BAJA;pBAJA
10;BAJB;pBAJB
3;BAJC;pBAJC
0;BAJD;pBAJD
17;BAJE;pBAJE
11;BAJF;pBAJF
8;BAJG;pBAJG
8;BAJH;pBAJH
2;BAJI;pBAJI
7;BAJJ;pBAJJ
17;BBAA;pBBAA
18;BBAB;pBBAB
8;BBAC;pBBAC
15;BBAD;pBBAD
6;BBAE;pBBAE
7;BBAF;pBBAF
11;BBAG;pBBAG
15;BBAH;pBBAH
12;BBAI;pBBAI
3;BBAJ;pBBAJ
9;BBBA;pBBBA
10;BBBB;pBBBB
0;BBBC;pBBBC
10;BBBD;pBBBD
9;BBBE;pBBBE
8;BBBF;pBBBF
3;BBBG;pBBBG
14;BBBH;pBBBH
0;BBBI;pBBBI
14;BBBJ;pBBBJ
14;BBCA;pBBCA
10;BBCB;pBBCB
2;BBCC;pBBCC
1;BBCD;pBBCD
14;BBCE;pBBCE
11;BBCF;pBBCF
10;BBCG;pBBCG
10;BBCH;pBBCH
14;BBCI;pBBCI
8;BBCJ;pBBCJ
12;BBDA;pBBDA
5;BBDB;pBBDB
16;BBDC;pBBDC
4;BBDD;pBBDD
11;BBDE;pBBDE
3;BBDF;pBBDF
14;BBDG;pBBDG
11;BBDH;pBBDH
0;BBDI;pBBDI
8;BBDJ;pBBDJ
6;BBEA;pBBEA
12;BBEB;pBBEB
1;BBEC;pBBEC
4;BBED;pBBED
0;BBEE;pBBEE
6;BBEF;pBBEF
13;BBEG;pBBEG
13;BBEH;pBBEH
5;BBEI;pBBEI
0;BBEJ;pBBEJ
19;BBFA;pBBFA
14;BBFB;pBBFB
8;BBFC;pBBFC
10;BBFD;pBBFD
6;BBFE;pBBFE
10;BBFF;pBBFF
17;BBFG;pBBFG
17;BBFH;pBBFH
4;BBFI;pBBFI
16;BBFJ;pBBFJ
9;BBGA;pBBGA
14;BBGB;pBBGB
9;BBGC;pBBGC
2;BBGD;pBBGD
17;BBGE;pBBGE
15;BBGF;pBBGF
9;BBGG;pBBGG
8;BBGH;pBBGH
12;BBGI;pBBGI
5;BBGJ;pBBGJ
16;BBHA;pBBHA
18;BBHB;pBBHB
15;BBHC;pBBHC
14;BBHD;pBBHD
18;BBHE;pBBHE
16;BBHF;pBBHF
8;BBHG;pBBHG
18;BBHH;pBBHH
4;BBHI;pBBHI
9;BBHJ;pBBHJ
3;BBIA;pBBIA
15;BBIB;pBBIB
6;BBIC;pBBIC
14;BBID;pBBID
5;BBIE;pBBIE
13;BBIF;pBBIF
4;BBIG;pBBIG
12;BBIH;pBBIH
11;BBII;pBBII
15;BBIJ;pBBIJ
18;BBJA;pBBJA
12;BBJB;pBBJB
1;BBJC;pBBJC
8;BBJD;pBBJD
7;BBJE;pBBJE
18;BBJF;pBBJF
4;BBJG;pBBJG
9;BBJH;pBBJH
6;BBJI;pBBJI
1;BBJJ;pBBJJ
14;BCAA;pBCAA
11;BCAB;pBCAB
0;BCAC;pBCAC
9;BCAD;pBCAD
17;BCAE;pBCAE
11;BCAF;pBCAF
8;BCAG;pBCAG
2;BCAH;pBCAH
10;BCAI;pBCAI
12;BCAJ;pBCAJ
12;BCBA;pBCBA
16;BCBB;pBCBB
2;BCBC;pBCBC
8;BCBD;pBCBD
10;BCBE;pBCBE
14;BCBF;pBCBF
13;BCBG;pBCBG
7;BCBH;pBCBH
15;BCBI;pBCBI
3;BCBJ;pBCBJ
14;BCCA;pBCCA
13;BCCB;pBCCB
8;BCCC;pBCCC
3;BCCD;pBCCD
15;BCCE;pBCCE
3;BCCF;pBCCF
2;BCCG;pBCCG
2;BCCH;pBCCH
1;BCCI;pBCCI
8;BCCJ;pBCCJ
9;BCDA;pBCDA
6;BCDB;pBCDB
11;BCDC;pBCDC
7;BCDD;pBCDD
19;BCDE;pBCDE
10;BCDF;pBCDF
11;BCDG;pBCDG
15;BCDH;pBCDH
